IdValeSalida,IdProducto,PrecioCosto,Pventa,Cantidad,Saldo,idvalearea
725,4,183,500,1,,1
725,16,100,350,1,,1
726,16,100,350,1,,1
727,36,350,500,1,,1
728,16,100,350,1,,1
729,16,100,350,1,,1
731,37,350,500,1,,1
732,16,100,350,1,,1
733,8,80,400,1,,1
733,8,80,400,1,,1
733,8,80,400,1,,1
734,16,100,350,1,,1
735,16,100,350,1,,1
736,16,100,350,1,,1
737,16,100,350,1,,1
738,16,100,350,1,,1
739,16,100,350,1,,1
740,16,100,350,1,,1
741,36,350,500,1,,1
742,37,350,500,1,,1
743,26,200,500,1,,3
743,36,350,500,1,,3
744,16,100,350,1,,2
745,16,100,350,1,,3
746,36,350,500,1,,1
747,36,350,500,1,,1
748,8,80,400,1,,1
748,8,80,400,1,,1
749,16,100,350,1,,1
750,1,200,500,1,,1
751,36,350,500,1,,1
751,36,350,500,1,,1
752,16,100,350,1,,1
753,16,100,350,1,,1
754,16,100,350,1,,1
755,36,350,500,1,,1
755,1,200,500,1,,1
756,36,350,500,1,,1
757,37,350,500,1,,1
758,16,100,350,1,,1
759,16,100,350,1,,1
760,14,100,300,1,,1
761,16,100,350,1,,1
762,16,100,350,1,,1
764,36,350,500,1,,1
765,16,100,350,1,,1
766,1,200,500,1,,1
767,37,350,500,1,,1
769,16,100,350,1,,1
770,16,100,350,1,,1
771,16,100,350,1,,1
771,16,100,350,1,,1
772,16,100,350,1,,1
773,16,100,350,1,,1
774,37,350,500,1,,1
775,43,250,500,1,,2
776,16,100,350,1,,3
777,16,100,350,1,,1
778,16,100,350,1,,3
779,36,350,500,1,,1
780,16,100,350,1,,1
781,8,80,400,1,,1
782,16,100,350,1,,1
783,43,250,500,1,,1
784,34,280,600,1,,1
785,36,350,500,1,,1
785,1,200,500,1,,1
786,16,100,350,1,,1
787,43,250,500,1,,1
787,43,250,500,1,,1
788,8,80,400,1,,1
789,43,250,500,1,,1
790,37,350,500,1,,1
791,16,100,350,1,,1
792,8,80,400,1,,1
792,8,80,400,1,,1
792,8,80,400,1,,1
794,8,80,400,1,,1
794,16,100,350,1,,1
794,14,100,300,1,,1
794,16,100,350,1,,1
796,43,250,500,1,,1
797,16,100,350,1,,1
798,1,200,500,1,,1
798,8,80,400,1,,1
799,42,110,350,1,,1
800,8,80,400,1,,1
801,42,110,350,1,,1
801,42,110,350,1,,1
802,42,110,350,1,,4
803,42,110,350,1,,5
804,43,250,500,1,,1
805,8,80,400,1,,1
806,43,250,500,1,,3
807,5,182,500,1,,4
808,42,110,350,1,,1
809,42,110,350,1,,1
810,44,190,500,1,,1
811,42,110,0,1,,1
812,42,110,350,1,,1
812,42,110,350,1,,1
812,45,7000,14000,1,,1
813,42,110,350,1,,1
813,42,110,350,1,,1
814,44,190,500,1,,1
815,43,250,500,1,,1
816,42,110,350,1,,1
817,42,110,350,1,,1
818,8,80,400,1,,3
819,43,250,0,1,,1
820,8,80,400,1,,1
820,37,350,500,1,,1
821,42,110,350,1,,1
822,42,110,350,1,,1
823,42,110,350,1,,1
824,14,100,300,1,,1
825,8,80,400,1,,1
825,42,110,350,1,,1
826,42,110,350,1,,1
827,42,110,350,1,,1
828,42,110,350,1,,1
829,42,110,350,1,,1
830,42,110,350,1,,1
831,42,110,350,1,,1
832,34,280,600,1,,1
832,8,80,400,1,,1
833,43,250,500,1,,1
834,8,150,400,1,,1
834,8,150,400,1,,1
835,42,110,350,1,,1
836,47,3600,9000,1,,1
837,42,110,350,1,,1
838,43,250,500,1,,1
839,44,190,500,1,,1
840,42,110,350,1,,1
841,28,170,500,1,,1
841,44,190,500,1,,1
842,43,250,500,1,,1
842,8,150,400,1,,1
843,44,190,500,1,,1
844,42,110,350,1,,1
845,42,110,350,1,,1
846,8,150,400,1,,1
847,42,110,350,1,,1
847,8,150,400,1,,1
848,16,100,350,1,,1
849,42,110,350,1,,1
850,8,150,400,1,,1
850,8,150,400,1,,1
851,42,110,350,1,,1
852,42,110,350,1,,1
852,8,150,400,1,,1
853,8,150,400,1,,1
854,43,250,500,1,,1
