idbajaspor,idbajas,IdAlmacen,Fecha,idproducto,Cantidad,Pcosto,Pventa
358,2,2,"02/02/23 00:00:00",86,1,115,130
359,2,2,"02/02/23 00:00:00",88,2,170,250
360,2,2,"02/02/23 00:00:00",90,1,125,180
361,2,2,"02/02/23 00:00:00",3,2,45,80
362,2,2,"02/02/23 00:00:00",8,12,70,120
363,2,2,"02/03/23 00:00:00",7,1,325,350
364,2,2,"02/03/23 00:00:00",13,9,135,190
365,2,2,"02/03/23 00:00:00",14,3,210,250
366,2,2,"02/03/23 00:00:00",14,2,210,250
367,2,2,"02/03/23 00:00:00",72,1,200,250
368,2,2,"02/03/23 00:00:00",77,1,125,200
369,2,2,"02/03/23 00:00:00",14,2,210,250
370,2,2,"02/03/23 00:00:00",22,12,24,200
371,1,2,"02/03/23 00:00:00",25,12,5,10
372,2,2,"02/03/23 00:00:00",71,10,300,250
373,2,2,"02/04/23 00:00:00",22,1,24,200
374,2,2,"02/05/23 00:00:00",14,2,210,250
375,2,2,"02/05/23 00:00:00",13,2,135,190
376,2,2,"02/05/23 00:00:00",86,2,115,130
377,2,2,"02/05/23 00:00:00",86,1,115,130
378,2,2,"02/05/23 00:00:00",25,6,5,10
379,2,2,"02/05/23 00:00:00",14,1,210,250
380,2,2,"02/06/23 00:00:00",87,2,70,150
381,2,2,"02/06/23 00:00:00",13,1,135,190
382,1,2,"02/08/23 00:00:00",14,1,210,250
383,2,2,"02/08/23 00:00:00",78,1,750,1500
384,2,2,"02/08/23 00:00:00",77,6,125,200
385,2,2,"02/08/23 00:00:00",86,1,115,130
386,2,2,"02/08/23 00:00:00",77,1,125,200
387,2,2,"02/08/23 00:00:00",13,2,135,190
388,2,2,"02/08/23 00:00:00",13,7,135,190
389,2,2,"02/08/23 00:00:00",88,3,170,250
390,2,2,"02/08/23 00:00:00",14,1,210,250
391,2,2,"02/08/23 00:00:00",77,1,125,200
392,2,2,"02/08/23 00:00:00",13,2,135,190
393,2,2,"02/08/23 00:00:00",88,1,170,250
394,2,2,"02/08/23 00:00:00",14,2,210,250
395,2,2,"02/09/23 00:00:00",88,1,170,250
396,2,2,"02/10/23 00:00:00",77,1,125,200
